Point_X,Point_Y,Tree_Name,Tree_Id,Genus,Species,Common_Name,Diameter,Tree__Height,ZONE_GEN,PageName,Status
-78.91308032,36.01594898,N20-QUPH-001,2249071,Quercus,phellos,Willow oak,24,60-80,RES_HIGH_DENSITY,N20,done
-78.90555874,36.0160241,N20-QUPH-002,2249258,Quercus,phellos,Willow oak,45,60-80,RES_MEDIUM_DENSITY,N20,done
-78.90554667,36.01670858,N20-QUPH-003,2249383,Quercus,phellos,Willow oak,30,60-80,RES_HIGH_DENSITY,N20,done
-78.911875,36.01560946,N20-QUPH-004,2249606,Quercus,phellos,Willow oak,36,60-80,RES_HIGH_DENSITY,N20,done
-78.91185321,36.015914,N20-QUPH-005,2249864,Quercus,phellos,Willow oak,51,60-80,RES_HIGH_DENSITY,N20,done
-78.91308367,36.01546979,N20-QUPH-006,2249976,Quercus,phellos,Willow oak,38,,RES_HIGH_DENSITY,N20,done
-78.91306514,36.01635361,N20-QUPH-007,2249981,Quercus,phellos,Willow oak,25,40-60,RES_HIGH_DENSITY,N20,done
-78.9083792,36.01479571,N20-QUPH-008,2250010,Quercus,phellos,Willow oak,38,60-80,RES_MEDIUM_DENSITY,N20,done
-78.91332205,36.01423234,N20-QUPH-009,2250280,Quercus,phellos,Willow oak,28,20-40,RES_HIGH_DENSITY,N20,done
-78.90836394,36.01560435,N20-QUPH-010,2250296,Quercus,phellos,Willow oak,28,60-80,RES_MEDIUM_DENSITY,N20,done
-78.89749065,36.02153013,N21-QUPH-001,2248669,Quercus,phellos,Willow oak,21,40-60,RES_MEDIUM_DENSITY,N21,done
-78.89701808,36.02078323,N21-QUPH-002,2248788,Quercus,phellos,Willow oak,23,40-60,RES_MEDIUM_DENSITY,N21,done
-78.89732838,36.0209726,N21-QUPH-003,2248791,Quercus,phellos,Willow oak,23,60-80,RES_MEDIUM_DENSITY,N21,done
-78.89712992,36.02095547,N21-QUPH-004,2248885,Quercus,phellos,Willow oak,29,80+,RES_MEDIUM_DENSITY,N21,done
-78.89705122,36.02054918,N21-QUPH-005,2248887,Quercus,phellos,Willow oak,29,60-80,RES_MEDIUM_DENSITY,N21,done
-78.89793456,36.02161691,N21-QUPH-006,2248890,Quercus,phellos,Willow oak,29,80+,RES_MEDIUM_DENSITY,N21,done
-78.89548436,36.01905919,N21-QUPH-007,2248987,Quercus,phellos,Willow oak,34,60-80,RES_HIGH_DENSITY,N21,done
-78.8971889,36.02076977,N21-QUPH-008,2249524,Quercus,phellos,Willow oak,42,80+,RES_MEDIUM_DENSITY,N21,done
-78.89853403,36.02173514,N21-QUPH-009,2249633,Quercus,phellos,Willow oak,35,60-80,RES_MEDIUM_DENSITY,N21,done
-78.89559567,36.01901363,N21-QUPH-010,2249643,Quercus,phellos,Willow oak,35,60-80,RES_HIGH_DENSITY,N21,done
-78.89587134,36.01536436,N21-QUPH-011,2249684,Quercus,phellos,Willow oak,35,60-80,RES_MEDIUM_DENSITY,N21,done
-78.89444903,36.01950067,N21-QUPH-012,2249895,Quercus,phellos,Willow oak,54,80+,RES_HIGH_DENSITY,N21,done
-78.89587986,36.01506128,N21-QUPH-013,2250120,Quercus,phellos,Willow oak,26,60-80,RES_MEDIUM_DENSITY,N21,done
-78.89714196,36.02068842,N21-QUPH-014,2250185,Quercus,phellos,Willow oak,43,80+,RES_MEDIUM_DENSITY,N21,done
-78.89587864,36.0155121,N21-QUPH-015,2250392,Quercus,phellos,Willow oak,29,40-60,RES_MEDIUM_DENSITY,N21,done
-78.91707147,36.01233585,O19-QUPH-001,2248634,Quercus,phellos,Willow oak,22,20-40,RES_HIGH_DENSITY,O19,done
-78.91594362,36.01084361,O19-QUPH-002,2248712,Quercus,phellos,Willow oak,19,40-60,RES_HIGH_DENSITY,O19,done
-78.91577996,36.01144522,O19-QUPH-003,2249173,Quercus,phellos,Willow oak,24,20-40,RES_HIGH_DENSITY,O19,done
